iteration	10_mean	10_std	100_mean	100_std	1000_mean	1000_std
0.0000	0.2982	0.2513	0.4919	0.3434	0.6631	0.2571
1.0000	0.3726	0.2252	0.6050	0.2879	0.7422	0.1925
2.0000	0.4576	0.1604	0.6936	0.2228	0.7736	0.1371
3.0000	0.4915	0.2143	0.6558	0.3251	0.7887	0.1082
4.0000	0.6014	0.2593	0.6679	0.2620	0.7878	0.1337
5.0000	0.5213	0.2476	0.6389	0.3145	0.8188	0.1546
6.0000	0.4680	0.2446	0.6929	0.2835	0.8085	0.1629
7.0000	0.5114	0.2450	0.7213	0.2136	0.7455	0.1369
8.0000	0.5392	0.2744	0.7358	0.1841	0.7816	0.1165
9.0000	0.5645	0.3376	0.7258	0.1584	0.7428	0.1079
10.0000	0.5163	0.2626	0.7507	0.1457	0.7933	0.1055
11.0000	0.5700	0.3320	0.7388	0.1747	0.8085	0.0903
12.0000	0.4984	0.2966	0.7288	0.1644	0.8328	0.1132
13.0000	0.5672	0.3553	0.7532	0.1696	0.7859	0.1232
14.0000	0.5533	0.3838	0.7365	0.1997	0.8096	0.1119
15.0000	0.5333	0.2959	0.7643	0.1852	0.8095	0.0870
16.0000	0.5762	0.3171	0.7521	0.2032	0.8547	0.1023
17.0000	0.6128	0.3365	0.7353	0.1523	0.8501	0.1399
18.0000	0.6103	0.3452	0.7679	0.1677	0.8760	0.1357
19.0000	0.6412	0.3323	0.7664	0.1575	0.8694	0.1294
